Name,Affiliation
Aldo Faisal,Imperial College London
Alex Hepburn,University of Bristol
Anna Scaife,University of Manchester
Antonio Hurtado,University of Strathclyde
Arnaud Robert,Imperial College London
Atilim Gunes Baydin,University of Oxford
Charles Hepburn,University of Warwick
Chris Nemeth,Lancaster University
Christian Cabrera,University of Cambridge
Christopher Yau,University of Oxford
Dafydd Owen-Newns,University of Strathclyde
Devina Mohan,University of Manchester
Diana Robinson,University of Cambridge
Dimitris Gkoumas,Queen Mary University of London
Dominic Danks,"The Alan Turing Institute 
University of Birmingham"
Elnaz Shafipour,University of Southampton
Estevão Prado,Lancaster university
Fabio Santos Ferreira,Imperial College London
Filippo Valdettaro,Imperial College London
Giovanni Montana,University of Warwick
Ivan Tyukin,King's College London
Jeff Clark,University of Bristol
Jessica Montgomery,University of Cambridge
Jonathan Erskine,University of Bristol
Jose Miguel Hernandez Lobato,University of Cambridge
Juyeon Heo,University of Cambridge
Kaspar Märtens,University of Oxford
Lin Gui,King's College London
Louis Sharrock,Lancaster University
Luchen Li,Imperial College London
Lucia Cipolina,University of Bristol
Maria Liakata,Queen Mary University of London
Matt Clifford,University of Bristol
Mike Walmsley,University of Manchester
Miri Zilka,University of Cambridge
Myura Nagendran,Imperial College London
Neil Lawrence,University of Cambridge
Paul Festor,Imperial College London
Per Kristian Lehre,University of Birmingham
Pierre Thodoroff,University of Cambridge
Pingfan Song,University of Cambridge
Qinghua Zhou,King's College London
Raul Santos Rodriguez,University of Bristol
Samuel Kaski,University of Manchester
Shishen Lin,University of Birmingham
Tabitha Goldstaub,Chair AI Council
Talia Tseriotou,Queen Mary University London
Tomisin Dada,University of Cambridge
Vihari Piratla,University of Cambridge
Xiaoyu Qin,University of Birmingham
Yulan He,King's College London
Yuxiang Zhou,King's College London
Yuxuan Liu,Imperial College London
